S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-02-20,131,NABIL,Nabil Bank Limited,670.2000,670.2000,664.0000,,8891,5918980.2000,670.2000,1100.5000,669.0000,2023-02-20T11:28:24.892342,664.0000,128,665.72,
2,2023-02-20,133,SCB,Standard Chartered Bank Limited,529.0000,529.0000,518.5000,,650,338420.0000,521.6000,555.0000,375.0000,2023-02-20T11:26:50.900985,518.5000,9,520.64,
3,2023-02-20,134,HBL,Himalayan Bank Limited,280.0000,290.0000,280.0000,,205,58500.0000,285.0000,398.7500,284.0000,2023-02-20T11:23:38.287810,290.0000,4,285.36,
4,2023-02-20,135,SBI,Nepal SBI Bank Limited,330.0000,330.0000,324.0000,,22907,7551668.0000,333.0000,380.0000,251.0000,2023-02-20T11:27:35.468758,330.0000,6,329.66,
5,2023-02-20,137,EBL,Everest Bank Limited,520.0000,520.0000,510.0000,,1416,723030.0000,517.0000,601.0000,411.0000,2023-02-20T11:28:01.838082,510.0000,19,510.61,
6,2023-02-20,139,NICA,NIC Asia Bank Ltd.,809.0000,819.9000,798.0000,,5417,4390582.2000,811.5000,861.9000,600.3000,2023-02-20T11:27:29.480722,810.0000,39,810.51,
7,2023-02-20,140,MBL,Machhapuchhre Bank Limited,227.7000,233.0000,227.7000,,672,155961.0000,232.0000,315.9000,199.0000,2023-02-20T11:18:55.510769,232.0000,5,232.08,
8,2023-02-20,141,LBL,Laxmi Bank Limited,194.0000,194.0000,190.0000,,5027,956532.5000,192.2000,281.0000,185.5000,2023-02-20T11:25:10.815132,190.0000,13,190.27,
9,2023-02-20,142,KBL,Kumari Bank Limited,187.9000,187.9000,184.0000,,6261,1155585.0000,185.3000,252.0000,176.5000,2023-02-20T11:28:11.936944,185.0000,58,184.56,
10,2023-02-20,145,SBL,Siddhartha Bank Limited,287.0000,287.0000,274.4000,,2629,733704.2000,282.0000,434.0000,279.3000,2023-02-20T11:24:17.294245,279.0000,19,279.08,
11,2023-02-20,147,SHL,Soaltee Hotel Limited,220.0000,220.2000,220.0000,,782,172118.2000,221.0000,252.6000,186.7000,2023-02-20T11:24:01.498109,220.1000,4,220.10,
12,2023-02-20,148,TRH,Taragaon Regency Hotel Limited,448.0000,448.0000,448.0000,,210,94080.0000,440.0000,507.0000,302.1000,2023-02-20T11:18:14.783144,448.0000,3,448.00,
13,2023-02-20,149,OHL,Oriental Hotels Limited,516.6000,526.3000,506.7000,,72,37086.0000,527.0000,602.6000,413.8000,2023-02-20T11:27:53.821107,526.3000,5,515.08,
14,2023-02-20,152,NHPC,National Hydro Power Company Limited,242.2000,247.0000,242.1000,,2095,511224.5000,244.0000,432.0000,176.4000,2023-02-20T11:27:20.473550,245.0000,19,244.02,
15,2023-02-20,153,BPCL,Butwal Power Company Limited,322.0000,322.0000,318.5000,,1091,348908.5000,318.1000,449.3000,288.0000,2023-02-20T11:23:58.111942,318.5000,6,319.80,
16,2023-02-20,154,CHCL,Chilime Hydropower Company Limited,455.0000,460.0000,455.0000,,823,375629.0000,458.5000,529.0000,347.9000,2023-02-20T11:21:35.617374,458.0000,9,456.41,
17,2023-02-20,155,STC,Salt Trading Corporation,4440.0000,4550.0000,4300.0000,,25640,110329120.0000,4471.0000,6350.0000,2870.0000,2023-02-20T11:18:18.378156,4550.0000,13,4303.00,
18,2023-02-20,156,BBC,Bishal Bazar Company Limited,3220.0000,3220.0000,3220.0000,,100,322000.0000,3242.1000,4860.0000,3083.0000,2023-02-20T11:24:11.882240,3220.0000,1,3220.00,
19,2023-02-20,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,790.0000,790.0000,775.0000,,332,259060.0000,782.0000,1220.0000,781.0000,2023-02-20T11:24:28.392535,775.0000,11,780.30,
20,2023-02-20,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1177.0000,1178.0000,1170.1800,,736,865552.0000,1177.0000,1314.0000,882.0000,2023-02-20T11:28:04.982494,1178.0000,25,1176.02,
21,2023-02-20,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,891.0000,900.0000,891.0000,,126,112851.8000,902.7000,1225.0000,861.0000,2023-02-20T11:28:04.109450,895.1000,4,895.64,
22,2023-02-20,171,SANIMA,Sanima Bank Limited,242.0000,244.0000,240.0000,,16567,3976892.0000,238.0000,346.0000,222.0000,2023-02-20T11:24:29.400695,240.0000,27,240.04,
23,2023-02-20,172,NABBC,Narayani Development Bank Limited,414.9000,414.9000,414.9000,,32,13276.8000,423.0000,565.0000,317.7000,2023-02-20T11:04:51.083966,414.9000,1,414.90,
24,2023-02-20,176,NICL,Nepal Insurance Co. Ltd.,513.0000,528.0000,513.0000,,2093,1079404.0000,523.0000,934.0000,385.1000,2023-02-20T11:25:07.333924,517.5000,9,515.72,
25,2023-02-20,178,NLICL,National Life Insurance Co. Ltd.,585.0000,590.0000,581.0000,,3195,1864379.0000,592.1000,1093.9000,492.0000,2023-02-20T11:26:01.782096,584.0000,23,583.53,
26,2023-02-20,179,HEI,Himalayan Everest Insurance Limited,434.0000,434.0000,423.2000,,530,224420.0000,430.0000,765.0000,345.0000,2023-02-20T11:28:15.141685,424.0000,3,423.43,
27,2023-02-20,180,UIC,United Insurance Co. (Nepal) Ltd.,434.0000,434.5000,426.0000,,30,12945.0000,433.8000,726.2000,325.0000,2023-02-20T11:12:35.643560,434.5000,3,431.50,
28,2023-02-20,182,PIC,Premier Insurance Company (Nepal) Limited,615.5000,618.0000,605.0000,,68,41565.5000,628.0000,978.0000,500.1000,2023-02-20T11:20:00.225064,618.0000,4,611.25,
29,2023-02-20,186,IGI,IME General Insurance Ltd.,411.0000,424.9000,411.0000,,1050,439415.0000,417.2000,786.4000,333.2000,2023-02-20T11:19:46.174825,418.0000,9,418.49,
30,2023-02-20,187,NLIC,Nepal Life Insurance Co. Ltd.,703.0000,708.0000,700.0000,,3259,2286738.8000,703.0000,1380.0000,570.0000,2023-02-20T11:26:27.332531,701.5000,32,701.66,
31,2023-02-20,188,LICN,Life Insurance Corporation (Nepal) Limited,1422.2000,1422.2000,1422.2000,,60,85332.0000,1450.0000,2274.0000,1065.0000,2023-02-20T11:27:21.479177,1422.2000,1,1422.20,
32,2023-02-20,189,PICL,Prudential Insurance Co. Ltd.,421.7000,421.7000,421.7000,,50,21085.0000,428.0000,740.0000,328.3000,2023-02-20T11:18:20.955627,421.7000,1,421.70,
