S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-01-02,140,MBL,Machhapuchhre Bank Limited,223.0000,234.0000,223.0000,230.0000,27806,6361518.4000,227.0000,350.3000,199.0000,2023-01-02T14:59:58.078789,230.0000,127,228.78,23591.46
2,2023-01-02,153,BPCL,Butwal Power Company Limited,328.8000,330.0000,313.0000,330.0000,26200,8404693.7000,322.3800,488.0000,288.0000,2023-01-02T14:59:50.621526,330.0000,188,320.78,11248.52
3,2023-01-02,177,RBCL,Rastriya Beema Company Limited,13221.0000,13500.0000,13200.0000,13500.0000,100,1340010.0000,13480.0000,20499.0000,12215.0000,2023-01-02T14:06:46.011312,13500.0000,8,13400.10,35995.93
4,2023-01-02,189,PICL,Prudential Insurance Co. Ltd.,398.8000,433.0000,394.5000,431.0000,30039,12685003.1000,406.9000,812.0000,328.3000,2023-01-02T14:59:28.969175,431.0000,190,422.28,5112.28
5,2023-01-02,227,BFC,Best Finance Company Ltd.,351.0000,358.8000,344.0000,357.0000,22678,8047294.2000,351.0000,577.0000,292.5000,2023-01-02T14:59:49.935513,357.0000,168,354.85,2959.22
6,2023-01-02,474,MNBBL,Muktinath Bikas Bank Ltd.,455.0000,468.0000,448.0000,466.0000,67307,30912845.8000,453.0000,603.0000,368.0000,2023-01-02T14:59:51.853967,466.0000,421,459.28,26362.46
7,2023-01-02,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1067.0000,1125.0000,1067.0000,1086.8000,460,505093.0000,1088.3000,1846.0000,963.0000,2023-01-02T14:59:26.769794,1086.8000,19,1098.02,1852.31
8,2023-01-02,640,MNBBLP,Muktinath Bikas Bank Ltd. Promoter Share,237.0000,237.0000,237.0000,237.0000,55000,13035000.0000,237.0000,280.0000,231.5000,2023-01-02T14:34:29.402802,237.0000,4,237.00,474.00
9,2023-01-02,2770,SEF,Siddhartha Equity Fund,8.3000,8.3200,8.1700,8.3200,13300,110231.0000,8.3000,11.6400,7.6900,2023-01-02T14:28:38.783996,8.3200,4,8.28,1248.00
10,2023-01-02,2786,PMHPL,Panchakanya Mai Hydropower Ltd,206.0000,218.0000,206.0000,216.9000,24285,5189677.3000,210.1000,405.7000,168.0000,2023-01-02T14:59:44.183463,216.9000,135,213.69,2385.90
11,2023-01-02,2824,HURJA,Himalaya Urja Bikas Company Limited,236.2000,253.0000,236.2000,250.9000,16897,4139932.0000,241.0000,554.8000,190.5000,2023-01-02T14:59:07.560602,250.9000,107,245.00,2483.91
12,2023-01-02,2900,RLI,Reliance Life Insurance Limited,415.0000,440.0000,406.7000,440.0000,13195,5612970.1000,420.9000,626.0000,310.0000,2023-01-02T14:59:46.081079,440.0000,276,425.38,9240.00
13,2023-01-02,2907,SSHL,Shiva Shree Hydropower Ltd,195.1000,205.0000,191.0000,202.0000,115727,23040042.5000,199.0000,414.1000,155.1000,2023-01-02T14:59:54.005171,202.0000,297,199.08,2982.33
14,2023-01-02,4967,NICSF,NIC Asia Select Fund 30,7.7500,8.0400,7.6000,8.0400,88636,684018.3500,7.9000,9.5800,7.4400,2023-01-02T14:46:51.077611,8.0400,29,7.71,1005.00
15,2023-01-02,8023,MMF1,Mega Mutual Fund -1,7.1600,7.3000,7.1600,7.2400,18280,132624.8000,7.3000,9.8600,6.7500,2023-01-02T14:57:18.721585,7.2400,24,7.25,905.00
16,2023-01-02,8024,NBF3,Nabil Balanced Fund-3,7.6000,7.8000,7.4500,7.8000,14330,110397.5000,7.6000,10.0300,7.0800,2023-01-02T14:52:43.290259,7.8000,25,7.70,975.00
17,2023-01-02,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,246.0000,259.0000,243.0000,255.0000,31187,7892641.4000,250.1000,505.0000,164.2000,2023-01-02T14:59:46.715014,255.0000,458,253.07,15300.00
18,2023-01-02,8076,HHL,Himalayan Hydropower Limited,224.5000,236.6000,221.0000,230.0000,9871,2278730.6000,229.0000,362.1000,202.0000,2023-01-02T14:59:57.036764,230.0000,189,230.85,2518.50
19,2023-01-02,8104,USHEC,Upper Solu Hydro Electric Company Limited,289.0000,296.5000,276.0000,296.5000,14051,4052463.2000,284.0000,431.9000,237.0000,2023-01-02T14:59:57.157870,296.5000,243,288.41,4002.75
20,2023-01-02,133,SCB,Standard Chartered Bank Limited,431.0000,446.0000,431.0000,440.3000,10471,4627144.7000,437.1000,561.0000,375.0000,2023-01-02T14:57:28.110504,440.3000,89,441.90,41517.89
21,2023-01-02,178,NLICL,National Life Insurance Co. Ltd.,573.4000,595.0000,566.0000,590.0000,24794,14560231.9000,585.0000,1179.0000,492.0000,2023-01-02T14:59:44.874885,590.0000,167,587.24,27378.55
22,2023-01-02,192,SICL,Shikhar Insurance Co. Ltd.,880.0000,902.0000,880.0000,898.9000,21209,18997943.5000,891.0000,2157.0000,690.1000,2023-01-02T14:59:53.238484,898.9000,221,895.74,20549.58
23,2023-01-02,232,GFCL,Goodwill Finance Limited,471.0000,486.5000,471.0000,484.0000,11406,5481938.4000,479.9000,763.0000,358.0000,2023-01-02T14:59:03.693955,484.0000,91,480.61,4579.20
24,2023-01-02,238,NMB,NMB Bank Limited,232.2000,241.5000,232.1000,238.9000,43136,10295323.4000,233.3000,387.6000,225.6000,2023-01-02T14:59:13.971534,238.9000,178,238.67,43878.06
25,2023-01-02,245,CFCL,Central Finance Co. Ltd.,326.0000,343.0000,325.9000,335.0000,31097,10471894.0000,332.5000,556.0000,237.0000,2023-01-02T14:59:30.165033,335.0000,176,336.74,3178.73
26,2023-01-02,357,PCBL,Prime Commercial Bank Ltd.,220.0000,225.0000,220.0000,222.8000,28433,6299801.3000,223.4000,392.0000,209.5000,2023-01-02T14:59:57.349709,222.8000,196,221.56,43228.94
27,2023-01-02,401,MLBL,Mahalaxmi Bikas Bank Ltd.,338.6000,344.0000,327.0000,342.0000,47168,15953361.7000,333.6500,580.0000,297.0000,2023-01-02T14:59:57.557930,342.0000,236,338.22,14265.91
28,2023-01-02,472,SADBL,Shangrila Development Bank Ltd.,318.0000,325.0000,314.0000,320.0000,38352,12324329.3000,317.0000,454.9000,245.0000,2023-01-02T14:59:57.676189,320.0000,157,321.34,9634.14
29,2023-01-02,562,MEGA,Mega  Bank Nepal Ltd.,204.0000,207.5000,203.6000,205.0000,88555,18175915.8000,205.0000,317.2000,183.5000,2023-01-02T14:59:52.550289,205.0000,285,205.25,34368.82
30,2023-01-02,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,1170.0000,1200.0000,1170.0000,1195.0000,12138,14423090.3000,1170.0000,1525.9000,965.0000,2023-01-02T14:59:47.774610,1195.0000,179,1188.25,18694.74
31,2023-01-02,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,10660.5000,10787.0000,10340.0000,10787.0000,360,3787251.0000,10878.0000,18588.0000,9663.0000,2023-01-02T14:45:29.833205,10787.0000,22,10520.14,19160.90
32,2023-01-02,700,HEIP,Himalayan Everest Insurance Limited Promoter,281.0000,286.6000,280.9000,280.9000,4210,1194779.0000,278.1000,298.0000,214.2000,2023-01-02T14:59:18.247247,280.9000,9,283.79,751.42
