Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,12/29/2022,1973.18,2029.11,1962.42,2029.03,2.88,2860345782
NEPSE,12/28/2022,1991.81,1994.33,1961.57,1972.15,-0.6,2153547208
NEPSE,12/27/2022,1928.81,1999.01,1928.81,1983.95,3.11,3884396998
NEPSE,12/29/2022,1973.18,2029.11,1962.42,2029.03,2.88,2860345782
NEPSE,12/28/2022,1991.81,1994.33,1961.57,1972.15,-0.6,2153547208
NEPSE,12/27/2022,1928.81,1999.01,1928.81,1983.95,3.11,3884396998
NEPSE,12/26/2022,1868.18,1924.09,1866.37,1924.09,3.05,2097049941
NEPSE,12/22/2022,1864.41,1867.21,1850.58,1867.21,0,1119797921
NEPSE,12/21/2022,1874.85,1883.09,1864.7,1867.22,-0.31,863816561.1
NEPSE,12/20/2022,1859.72,1881.21,1858.57,1873.11,0.76,930839901.1
NEPSE,12/19/2022,1855.19,1865.18,1849.19,1858.89,0.21,886098568.4
NEPSE,12/18/2022,1883.65,1883.82,1850.96,1855.06,-1.46,1157155099
NEPSE,12/15/2022,1897.34,1899,1880.16,1882.6,-0.76,1192616188
NEPSE,12/14/2022,1900.61,1906.04,1893.01,1897.08,-0.14,727877897.4
NEPSE,12/13/2022,1900.23,1904.75,1888.82,1899.7,-0.13,777089165.2
NEPSE,12/12/2022,1884.22,1902.42,1868.65,1902.27,0.9,1366010464
NEPSE,12/11/2022,1916.04,1918.51,1883.09,1885.31,-1.67,1103404045
NEPSE,12/7/2022,1935.08,1936.39,1916.19,1917.28,-0.86,1654662551
NEPSE,12/6/2022,1941.08,1944.11,1922.13,1933.88,-0.25,965210899.1
NEPSE,12/5/2022,1964.79,1965.77,1935.65,1938.76,-1.25,1670455035
NEPSE,12/4/2022,1961.07,1973.55,1957.18,1963.22,0.11,1561702992
NEPSE,12/1/2022,1949.48,1969.02,1941.58,1961.06,0.58,1322972186
NEPSE,11/30/2022,1953.07,1955.6,1942.95,1949.85,-0.18,842695302
NEPSE,11/29/2022,1951.31,1957.88,1933.64,1953.35,0.15,957060226
NEPSE,11/28/2022,1968.93,1980.26,1947.37,1950.37,-0.79,1494394614
NEPSE,11/27/2022,1934.45,1965.98,1934.41,1965.98,1.68,2025489052
NEPSE,11/24/2022,1922.72,1933.55,1916.35,1933.55,0.6,925174380.5
NEPSE,11/23/2022,1931.01,1933.93,1913.09,1921.99,-0.4,1022293553
NEPSE,11/22/2022,1938.47,1961.28,1926.39,1929.7,-0.37,1352885780
NEPSE,11/17/2022,1912.24,1939.59,1912.04,1936.83,1.34,1715419286
NEPSE,11/16/2022,1898.7,1914.38,1898.7,1911.26,0.71,859468158.3
NEPSE,11/15/2022,1905.21,1919.8,1895.89,1897.86,-0.35,1023609960
NEPSE,11/14/2022,1883.58,1904.5,1879.36,1904.45,1.13,26168768.7
NEPSE,11/13/2022,1892.94,1901.31,1879.58,1883.16,-0.56,774911706.7
NEPSE,11/10/2022,1919.1,1929.01,1889.64,1893.7,-1.23,1119461411
NEPSE,11/9/2022,1957.76,1967.8,1914.27,1917.22,-2,0
NEPSE,11/8/2022,1959.22,1966.41,1948.35,1956.36,-0.13,1053137467
NEPSE,11/7/2022,1968.07,1987.32,1955.28,1958.94,-0.33,2109163384
NEPSE,11/6/2022,1924.2,1965.7,1919.24,1965.36,2.25,1548032561
NEPSE,11/3/2022,1939.5,1940.61,1918.84,1922.16,-0.83,898907830
NEPSE,11/2/2022,1933.24,1956.61,1916.32,1938.3,0.38,1467914875
NEPSE,11/1/2022,1876.55,1931.54,1871.77,1930.99,2.99,1290664642
NEPSE,10/31/2022,1860.39,1874.88,1856.93,1874.87,0.88,10864364.15
NEPSE,10/23/2022,1844.5,1858.57,1843.8,1858.49,0.78,516803483.6
NEPSE,10/20/2022,1845.38,1849.86,1834.31,1844.14,-0.07,507689560.5
NEPSE,10/19/2022,1858.03,1861.93,1840.5,1845.51,-0.69,643607975.3
NEPSE,10/17/2022,1861.55,1864.74,1854.24,1858.33,-0.14,515818989.8
NEPSE,10/16/2022,1871.09,1872.52,1852.74,1860.94,-0.52,803525533.2
NEPSE,10/13/2022,1866.54,1878.16,1860.85,1870.63,0.22,829646920.4
NEPSE,10/12/2022,1854.57,1872.86,1848.13,1866.48,0.61,691737894
NEPSE,10/11/2022,1871.28,1871.28,1849.8,1855.16,-0.86,552809984.5
NEPSE,10/10/2022,1901.25,1908.58,1866.83,1871.22,-1.43,971767714.4
NEPSE,10/9/2022,1854.57,1898.45,1854.542,1898.38,2.41,32308156.1
NEPSE,9/29/2022,1836.84,1853.8,1835.95,1853.76,0.89,18117759.15
NEPSE,9/28/2022,1831.24,1845.69,1831.23,1837.46,0.35,485408767.8
NEPSE,9/27/2022,1814.71,1842.05,1814.68,1831.05,0.88,663013000.5
NEPSE,9/25/2022,1838,1838.67,1811.32,1815.13,-1.3,1072480097
NEPSE,9/22/2022,1848.79,1856.02,1836.17,1838.96,-0.53,655705169.4
NEPSE,9/21/2022,1838.4,1862.48,1838.14,1848.82,0.61,11527067.9
NEPSE,9/20/2022,1875.41,1877.65,1833.55,1837.6,-2.07,1229669722
NEPSE,9/18/2022,1910.2,1911.57,1874.14,1876.41,-1.78,1601822955
NEPSE,9/16/2022,1921.05,1921.05,1886.72,1910.38,-0.73,908186488
NEPSE,9/15/2022,1983.26,1989.84,1920.38,1924.48,-2.88,2125655787
NEPSE,9/14/2022,1936.37,1984.12,1936.34,1981.48,2.45,1453824650
NEPSE,9/13/2022,1913.41,1940.85,1913.2,1934.04,1.11,922574409.7
NEPSE,9/12/2022,1926.45,1928.71,1906.75,1912.74,-0.7,831603650.6
NEPSE,9/11/2022,1938.2,1946.42,1922,1926.28,-0.59,747226625.4
NEPSE,9/8/2022,1940.19,1947.91,1925.22,1937.74,-0.11,1044440647
NEPSE,9/7/2022,1951.21,1955.97,1933.29,1939.88,-0.61,826230582.9
NEPSE,9/6/2022,1974.13,1978,1947.21,1951.79,-1.08,23520909.4
NEPSE,9/5/2022,1978.3,1987.57,1970.68,1973.01,-0.22,909904751
NEPSE,9/4/2022,1971.86,1988.38,1969.48,1977.3,0.34,1071615922
NEPSE,9/2/2022,1970.78,1984.88,1964.8,1970.62,-0.08,698805950.9
NEPSE,9/1/2022,1972.98,1982.34,1953.58,1972.29,-0.05,1383462162
NEPSE,8/31/2022,1993.38,1996.89,1968.41,1973.38,-1.1,1126217862
NEPSE,8/30/2022,1993.47,2012.18,1987.39,1995.21,0.11,1019516696
NEPSE,8/29/2022,1989.37,1995.78,1975.07,1993.02,0.19,1266619150
NEPSE,8/28/2022,2022.32,2022.76,1987.04,1989.26,-1.65,2059737103
NEPSE,8/26/2022,2040.47,2040.46,2018.18,2022.62,-0.83,1294832820
NEPSE,8/25/2022,2058.01,2068.55,2035.69,2039.55,-0.89,1717469670
NEPSE,8/24/2022,2054.99,2073.54,2052.13,2057.85,0.14,1526186218
NEPSE,8/23/2022,2053.35,2060.21,2048.8,2054.95,0.09,1333560857
NEPSE,8/22/2022,2061.03,2065.81,2043.72,2053.13,-0.36,1726287430
NEPSE,8/21/2022,2070.06,2089.25,2055.78,2060.55,-0.37,2047093689
NEPSE,8/18/2022,2041.71,2072.37,2041.71,2068.26,1.35,2057980057
NEPSE,8/17/2022,2043.62,2053.09,2035.38,2040.7,-0.02,1405974256
NEPSE,8/16/2022,2069.38,2088.23,2035.47,2041.06,-1.2,2734853058
NEPSE,8/15/2022,2007.19,2065.9,2007.19,2065.89,2.78,2432984612
NEPSE,8/14/2022,2035.32,2043.03,2007.68,2010.01,-1.37,1873281897
NEPSE,8/11/2022,2059.83,2074.73,2036.8,2037.92,-0.92,1761023039
NEPSE,8/10/2022,2064.39,2074.92,2042.62,2056.88,-0.29,1935520147
NEPSE,8/9/2022,2109.79,2112.71,2060.31,2062.8,-2.06,2815144598
NEPSE,8/8/2022,2128.19,2140.26,2102.25,2106.15,-0.83,2857072961
NEPSE,8/7/2022,2109.41,2133.62,2107.49,2123.82,0.49,2673338232
NEPSE,8/5/2022,2150.47,2150.58,2108.34,2113.3,-1.62,2626154948
NEPSE,8/4/2022,2191.49,2193.35,2147.7,2148.16,-1.77,3768079173
NEPSE,8/3/2022,2196.13,2214.05,2183.09,2186.77,-0.31,4029931440
NEPSE,8/2/2022,2198.06,2202.88,2170.25,2193.43,-0.13,3293234706
NEPSE,8/1/2022,2205.77,2224.48,2183.22,2196.25,0.05,4670798756
NEPSE,7/31/2022,2142.31,2195.35,2142.3,2195.1,2.55,4609971272
NEPSE,7/29/2022,2130.32,2147.63,2117.31,2140.39,0.61,2191619914
NEPSE,7/28/2022,2113.35,2156.39,2105.7,2127.42,0.73,4976433105
NEPSE,7/27/2022,2089.01,2112.11,2065.96,2111.99,1.14,3161455142
NEPSE,7/26/2022,2134.14,2141.61,2085.83,2088.16,-2.1,3704998398
NEPSE,7/25/2022,2081.98,2134.62,2081.65,2132.96,2.62,4106818941
NEPSE,7/24/2022,2027.8,2078.51,2027.66,2078.51,3.03,2730937197
NEPSE,7/22/2022,2046.62,2047.29,2013.46,2017.46,-1.33,1443432770
NEPSE,7/21/2022,2052.95,2066.07,2038.33,2044.72,-0.29,1642648587
NEPSE,7/20/2022,2046.21,2061.56,2033.28,2050.59,0.24,1731832270
NEPSE,7/19/2022,2029.71,2062.36,2028.17,2045.63,0.8,2299316326
NEPSE,7/18/2022,2011.71,2029.46,2000.14,2029.43,0.9,1312962960
NEPSE,7/17/2022,2010.92,2018.97,1994.75,2011.39,0.1,1232488083
NEPSE,7/15/2022,2002.96,2009.89,1989.19,2009.46,0.4,1456259833
NEPSE,7/14/2022,1987.32,2012.16,1977.14,2001.53,0.74,2411834599
NEPSE,7/13/2022,1928.5,1986.82,1928.5,1986.82,3.09,2044443007
NEPSE,7/12/2022,1916.41,1947.54,1908.59,1927.28,0.61,1707752978
NEPSE,7/11/2022,1993.33,1993.55,1912.49,1915.61,-3.86,2325641022
NEPSE,7/8/2022,2031.87,2033.4,1988.43,1992.61,-1.71,1168451395
NEPSE,7/7/2022,2051.5,2080.96,2023.01,2027.32,-0.81,1806204765
NEPSE,7/6/2022,2036.46,2047.37,1994.54,2043.92,0.66,2178655701
NEPSE,7/5/2022,2078.63,2091.88,2025.57,2030.59,-2.22,2968485224
